A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
meddle                           1
meddlesome                       1
meddlin                          1
medicine                         3
medium                           5
medlock                          127
medlock-i                        1
medlockd                         1
medlocks                         5
meet                             5
meeting                          2
meeting-the                      1
mellow                           2
melted                           1
mem                              6
memories                         1
men                              3
menagerie                        1
mended                           1
mens                             1
mention                          3
mentioned                        2
mentioning                       1
merchantability                  1
mercy                            1
mercys                           1
mere                             4
merely                           2
merrily                          1
message                          1
mester                           21
met                              7
method                           1
methods                          2
mice                             3
michael                          1
midday                           2
middle                           8
middle-aged                      1
midnight                         2
midst                            7
might                            75
might-sometime                   1
mignonette                       2
mignonettes                      1
mildly                           1
mile                             2
miles                            8
milk                             11
million-worlds                   1
millions                         1
mind                             46
mind-filling                     1
mine                             13
mingled                          1
minute                           24
minute-an                        1
minutes                          30
minutes-sometimes                1
miracles                         1
miserable                        8
miseries                         1
misery                           1
miss                             27
missed                           1
missel                           10
misselthwaite                    34
misselthwaite-if                 1
missie                           2
missing                          1
mission                          4
mississippi                      1
missus                           2
mist                             8
mistaken                         2
mister                           1
mistress                         52
mixture                          1
modification                     1
modified                         1
modify                           1
moist                            1
moisture                         1
moithered                        2
mole                             2
moment                           47
moments                          7
mon                              1
money                            10
monogram                         1
month                            4
months                           5
months-the                       2
mood                             2
moon                             2
moonlight                        2
moor                             92
moor-if                          1
moor-whatsoever                  1
moorland                         8
morbid                           2
more                             132
more-a                           1
more-more                        1
mornin                           8
morninan                         1
morning                          75
mornings                         2
mornins                          1
morrison                         1
mortar                           1
moss                             2
moss-covered                     1
most                             39
mostly                           2
mother                           99
mother-and                       2
mother-as                        1
mother-thats                     1
motherless                       1
motherly                         3
mothers                          11
motionless                       1
mould                            3
mound                            1
mount                            1
mountain                         1
mountain-sides                   1
mountains                        4
mounted                          4
mounted-would                    1
mournful                         2
mournfully                       1
mouse                            4
mouth                            19
mouth-and                        1
mouthful                         1
mouths                           4
move                             9
moved                            10
movement                         1
movements                        3
moving                           3
mr                               65
mrs                              159
much                             123
muffin                           1
muffins                          1
muffled                          1
mug                              3
mumbled                          2
mun                              18
mun-we                           1
munnot                           6
murmured                         2
muscle                           3
muscles                          7
music                            3
musical                          1
musically                        1
must                             107
must-though                      1
mustnt                           7
muttered                         2
muttering                        2
muzzle                           1
my                               150
mysel                            2
myself                           27
myself-when                      1
mysteries                        1
mysterious                       17
mysterious-looking               1
mysteriously                     2
mysteriousness                   2
mystery                          3
mystic                           1
mystified                        5
nails                            1
name                             22
named                            2
names                            10
napkin                           1
narcissuses                      2
narrow                           2
nasty                            4
native                           15
natives                          4
natural                          11
naturally                        1
nature                           1
naught                           3
naughty                          1
nay                              1
near                             41
nearby                           4
nearer                           8
nearest                          2
nearing                          1
nearly                           24
neat                             4
neater                           1
necessarily                      1
necessary                        2
neck                             4
necks                            1
need                             13
needed                           1
neednt                           3
needs                            3
neglected                        2
negligence                       1
neither                          18
nerves                           1
nervous                          6
nervously                        2
nervousness                      1
nesh                             1
nest                             22
nest-buildin                     3
nest-though                      1
nestin                           1
nests                            10
network                          1
never                            184
new                              59
new-born                         7
newcomer                         1
newly                            2
newly-turned                     1
news                             1
newsletter                       1
next                             29
nibble                           1
nibbling                         1
nice                             48
nice-looking                     1
nicer                            11
nicest                           2
nickname                         1
nigh                             6
night                            38
nights                           2
nine                             1
no                               224
nobody                           21
nobodys                          1
nodded                           4
nodding                          1
noise                            6
noises                           1
noisily                          1
non-profit                       1
none                             13
nonproprietary                   1
nonsense                         1
nor                              19
normal                           1
north                            1
norwegian                        1
nose                             14
noses                            3
noses-and                        1
nosing                           1
not                              573
notes                            1
nothin                           15
nothing                          69
nothing-and                      2
nothings                         1
nothinof-the-sort                1
nothins                          1
notice                           11
noticed                          11
noticing                         2
notifies                         1
notion                           1
notwithstanding                  1
nourishment                      1
novelty                          1
now                              105
now-much                         1
now-pushing                      1
nowhere                          1
nowt                             11
nowtshe                          1
nudging                          1
number                           7
numbers                          1
numerous                         1
nurse                            61
nursery                          10
nurses                           3
nut                              12
nutcracker                       1
nuzzle                           2
nuzzling                         2
o                                153
oak                              2
oaks                             2
oat                              1
oatcakes                         1
obedience                        1
obedient                         1
obediently                       1
obey                             2
obeyed                           1
object                           3
objected                         1
obliged                          18
obsequious                       1
observed                         1
obsolete                         1
obstinacy                        1
obstinate                        2
obstinately                      7
obtain                           3
obtaining                        2
occasion                         2
occasions                        1
occupation                       1
occupied                         1
occur                            1
occurred                         2
occurring                        1
ocean                            2
oclock                           4
october                          1
odd                              11
oddest                           1
odds                             1
odors                            1
of                               1273
of-he                            1
of-what                          1
off                              32
off-and                          1
offer                            1
offers                           1
office                           1
officer                          4
officers                         4
official                         3
often                            17
often-different                  1
oftener                          3
oftenest                         3
oftenit                          1
oh                               37
old                              73
old-fashioned                    1
old-going                        1
old-womanish                     1
older                            2
oldest                           1
on                               527
once                             66
one                              334
one-no                           1
one-prince                       1
one-the                          1
one-what                         1
ones                             38
ones-even                        1
ones-well                        1
oneself                          1
onion                            1
onions                           2
online                           4
only                             80
open                             41
opened                           36
openin                           1
opening                          6
openly                           1
opinion                          3
opinions                         1
opportunities                    1
opportunity                      2
oppose                           1
or                               245
orange                           5
orange-peel                      1
orator                           1
orchard                          10
orchard-he                       1
orchards                         2
order                            7
ordered                          4
orderin                          1
ordering                         1
orders                           13
ordinarily                       1
ordinary                         1
organized                        1
original                         1
originator                       1
ornaments                        1
other                            125
others                           12
otters                           3
ought                            15
oughtnt                          1
our                              40
ourselves                        2
ourselves-if                     1
out                              409
out-winning                      1
outbreak                         2
outdated                         1
outer                            1
outraged                         1
outright                         2
outset                           1
outside                          19
outsider                         2
outspokenly                      1
outspread                        1
oven                             2
over                             177
over-at                          1
over-everything                  1
overcome                         1
overdo                           1
overexert                        1
overfilling                      1
overhe                           1
overhead                         2
overpowered                      1
overwhelmed                      1
owed                             1
own                              59
owner                            4
owns                             3
paced                            1
package                          2
packages                         4
packed                           3
packet                           1
page                             2
pages                            1
paid                             7
pail                             2
pails                            1
pain                             1
pains                            1
pair                             10
pairll                           1
pairs                            1
palace                           1
palanquins                       1
pale                             17
pampered                         1
pane                             1
panels                           1
panes                            2
panic                            1
panic-stricken                   1
pans                             1
pansies                          1
panted                           3
panting                          1
pantry                           1
paper                            6
paperwork                        1
paragraph                        11
paragraphs                       3
parcels                          1
pardon                           2
pardon-ax                        1
parents                          1
park                             9
parrot                           3
parsley                          1
parson                           1
part                             16
parted                           1
particular                       6
particularly                     4
parties                          2
partly                           3
parts                            3
party                            3
pass                             1
passage                          7
passages                         1
passed                           20
passes                           1
passing                          5
passion                          6
passionate                       1
passionately                     1
past                             8
pat                              6
patch                            2
patched                          1
patches                          2
path                             10
pathetic                         1
pathetically                     1
paths                            8
pathways                         1
patience                         1
patient                          4
patients                         1
patted                           2
pattering                        1
paused                           8
paws                             2
pay                              2
paying                           3
payments                         3
peace                            1
peaceful                         1
peach                            1
pearls                           1
pearly                           1
peck                             2
pecked                           2
peckin                           1
pecking                          1
peculiar                         3
peculiar-when                    1
peculiarities                    1
peddlin                          1
peep                             1
peeped                           3
peering                          1
pen                              4
penny                            3
people                           87
people-theyre                    1
peoples                          2
perched                          9
perennial                        1
perfect                          1
perfectly                        2
perform                          1
performance                      1
performances                     1
performed                        1
performing                       3
perhaps                          79
perhaps-i                        1
perhaps-perhaps                  4
perhaps-perhaps-perhaps          1
perhaps-the                      1
periodic                         1
permanent                        1
permission                       13
permitted                        2
perplexed                        2
persevered                       1
persisted                        3
persistently                     1
person                           30
person-only                      1
persons                          1
persuade                         1
persuaded                        1
pert                             1
pet                              1
pets                             1
pettish                          1
pewter                           1
pg                               1
pglaf                            1
pheasant                         2
pheasants                        1
phil                             1
phœbe                            1
photograph                       1
phrase                           4
phrases                          1
physical                         2
pick                             6
picked                           5
picking                          1
picture                          15
picture-books                    3
picture-gallery                  2
pictures                         17
piece                            12
pieces                           4
pierce                           1
pig                              5
pigs                             1
pile                             1
pilgrimage                       1
pillow                           11
pillows                          3
pills                            1
pin                              2
pin-except                       1
pinafores                        1
pinch                            1
pinched                          5
pink                             7
pink-cheeked                     1
pinks                            1
pipe                             7
piped                            1
pipes                            2
pipin                            3
piping                           2
pips                             1
pitcher                          8
pitchers                         1
pitifully                        1
pitifulness                      1
pity                             1
pitying                          1
pityingly                        1
place                            74
place-i                          1
places                           16
plain                            22
plainer                          1
plainly                          3
plains                           1
plan                             2
planned                          4
plannin                          1
planning                         1
plans                            2
plant                            10
planted                          8
plantin                          2
planting                         1
plants                           5
plate                            1
plates                           4
platform                         1
play                             27
played                           6
playin                           3
playing                          12
plays                            4
pleaded                          2
pleasant                         1
please                           23
please-please                    1
pleased                          23
pleases                          3
pleasure                         7
plenty                           6
pluck                            2
plucked                          1
plum                             1
plum-tree                        2
plump                            3
plumpin                          1
pocket                           14
pockets                          2
point                            1
pointed                          3
pointin                          1
pointing                         7
points                           12
poison                           1
poisoned                         1
poke                             2
pokin                            1
poking                           2
polish                           1
polished                         2
polishin                         1
polishing                        4
polite                           4
pondered                         1
ponies                           5
pony                             6
pool                             2
poor                             28
poppies                          4
poppy                            2
poppy-cheeked                    1
poppy-colored                    1
popular                          1
porridge                         3
portal                           1
portrait                         1
portraits                        5
position                         1
positively                       2
possessed                        2
possession                       3
possibility                      2
possible                         15
possibly                         2
posted                           4
pot                              3
potato                           1
potatoes                         5
pother                           1
pots                             1
pounce                           2
pound                            2
pour                             1
poured                           7
pouring                          7
power                            2
powerful                         1
practical                        2
practically                      1
practice                         2
practise                         2
praise                           5
praps                            4
prayer-meeting                   1
prayer-meetins                   1
preach                           1
preen                            1
preference                       1
prejudice                        1
preparations                     1
prepare                          4
prepared                         2
preparing                        2
presence                         1
present                          5
presently                        10
presents                         1
preserve                         1
pressed                          3
presume                          1
pretend                          2
pretended                        2
pretendin                        1
pretending                       3
prettier                         2
prettiest                        5
pretty                           25
prevent                          2
previous                         1
previously                       1
pride                            4
priest                           2
primroses                        1
prince                           1
princess                         1
print                            7
printed                          5
printin                          1
private                          1
privately                        4
prize-fighter                    2
probably                         6
problem                          1
proceeded                        2
process                          1
processing                       1
procession                       4
produce                          1
produced                         1
production                       1
professor                        1
profits                          1
prohibition                      1
project                          88
prominently                      2
promoting                        2
promotion                        1
prompted                         1
promptly                         1
pronouncing                      1
proofread                        1
proper                           1
property                         2
proprietary                      1
protect                          2
protected                        5
protecting                       1
protector                        1
protested                        4
proud                            6
proudly                          1
provide                          8
provided                         5
providing                        4
provision                        1
provisions                       1
pruned                           1
prunin                           2
public                           4
puddin                           1
pudding                          1
puffed                           2
puffs                            2
pull                             5
pulled                           12
pullin                           1
pulse                            2
pulses                           1
punitive                         1
puppies                          2
pure                             3
purple                           12
purple-black                     1
purplish                         1
purpose                          5
purse                            1
push                             19
pushed                           21
pushes                           1
pushing                          8
put                              77
puts                             1
putting                          7
puzzle                           1
puzzled                          15
quality                          1
quarreling                       1
quarter                          2
quarters                         3
quavered                         2
queen                            1
queer                            56
queer-and                        1
queerer                          1
queerest                         2
queerly                          1
question                         12
questioned                       1
questions                        23
questions-if                     1
quick                            12
quickly                          22
quiet                            18
quieter                          2
quietest                         1
quietly                          9
quite                            183
quite-quite                      1
quivering                        1
quivers                          1
rabbit                           6
rabbits                          9
race                             1
race-perhaps                     1
radiant                          1
radiantly                        1
radishes                         1
rage                             6
raging                           2
railroad                         1
railway                          3
rain                             24
rain-storm                       1
raindrops                        1
rained                           1
rainin                           1
raining                          1
rains                            4
rainstorm                        1
rainy                            4
rajah                            24
rajah-like                       1
rajahs                           4
rake                             3
raking                           1
ramble                           3
rambling                         1
ran                              32
rang                             1
rapidly                          3
rapture                          1
rapturous                        1
rare                             5
rarely                           2
raspberry                        1
raspingly                        1
rate                             3
rather                           73
rational                         1
rattled                          1
raved                            2
raven                            1
ravenous                         1
rays                             3
re-use                           2
reach                            1
reached                          9
reaching                         1
read                             23
readable                         1
readier                          1
readin                           2
readiness                        1
reading                          2
ready                            11
real                             15
real-real                        1
reality                          2
realization                      1
realize                          2
realized                         8
really                           51
reason                           9
reasonable                       1
rebellious                       1
recall                           1
receipt                          2
receive                          4
received                         7
receiving                        1
recently                         1
recluse                          1
recollection                     1
recollections                    1
recover                          1
recovered                        3
red                              34
red-as                           1
red-breasted                     2
red-cheeked                      1
redbreast                        2
reddenin                         1
redder                           1
reddish                          2
redistribute                     1
redistributing                   2
redistribution                   2
references                       2
reflected                        2
reflecting                       2
reflective                       2
reflectively                     1
refund                           10
refuse                           1
refused                          2
registered                       2
registers                        1
regretfully                      1
regular                          2
regularly                        2
regulating                       1
reigned                          1
relating                         1
relations                        1
relaxed                          2
release                          1
released                         1
relented                         1
relief                           3
relieved                         7
religious                        1
reluctance                       1
reluctantly                      1
remade                           1
remain                           4
remained                         3
remaining                        1
remark                           1
remarkable                       3
remarked                         1
remarks                          2
remedies                         1
remember                         19
remembered                       31
remembering                      10
remembers                        2
remembrance                      1
remind                           2
reminded                         4
remote                           1
remotest                         1
remove                           1
removed                          4
renamed                          1
renewed                          1
rent                             1
repacked                         1
repeat                           1
repeated                         4
repeating                        1
replace                          1
replaced                         1
replacement                      5
replied                          9
reply                            1
replying                         1
report                           1
reported                         1
reports                          1
reposeful                        1
representations                  1
repress                          1
reproachful                      1
reproachfully                    1
request                          1
require                          1
required                         1
requirements                     4
research                         2
resent                           2
resented                         1
resentful                        1
respectable                      2
respectful                       1
response                         1
responsible                      1
rest                             22
rested                           2
resting                          4
restive                          1
restlessly                       4
restrain                         1
restrictions                     2
result                           1
results                          1
retorted                         2
return                           5
returned                         10
returning                        1
returns                          1
reveal                           2
revealed                         5
revealing                        1
revelation                       1
revenue                          1
reverence                        1
reverent                         1
rheumatic                        1
rheumatics                       7
rhododendron                     1
rib                              1
ribbon                           1
rice                             1
rich                             7
riches                           2
richly                           1
ride                             1
riding                           1
riding-hood                      2
rift                             1
right                            29
right-i                          1
rimmed                           2
rind                             1
ring                             5
ringing-i                        1
rings                            2
riot                             1
rippling                         1
riquet                           1
rise                             3
risen                            3
risin                            1
rising                           4
rithmetic                        1
roach                            15
road                             5
roam                             1
roamin                           1
roar                             1
roared                           1
roast                            1
roasted                          2
robbed                           1
robes                            1
robin                            104
robin-he                         1
robin-not                        1
robins                           7
rock                             1
rock-cress                       1
rocked                           1
rockery                          1
rolled                           2
romping                          2
rook                             5
room                             101
rooms                            21
root                             3
rooted                           1
roots                            8
rope                             3
rose                             14
rose-bush                        3
rose-bushes                      4
rose-colored                     2
rose-trees                       5
rosebush                         1
rosebushes                       1
roses                            34
roses-the                        1
rosy                             2
rough                            12
rough-and-tumble                 1
rough-in                         1
rough-looking                    1
roughly                          1
round                            103
rounded                          1
rounder                          2
rouse                            1
roused                           1
route                            2
row                              3
royal                            6
royalties                        3
royalty                          3
rub                              4
rubbed                           7
rubber                           1
rubbing                          4
rubies                           3
ruby                             1
ruddy                            1
rude                             4
ruffled                          1
ruffling                         1
ruffs                            1
rug                              3
rugs                             3
rules                            2
rumors                           1
run                              32
run-and                          1
runnin                           2
running                          17
runs                             1
rush                             1
rushed                           7
rushing                          4
rust-colored                     1
rust-red                         2
rustic                           1
rustling                         4
rusty                            1
rusty-red                        2
s                                1
sad                              2
sadder                           1
sadly                            1
safe                             15
safe-hidden                      1
safely                           1
safer                            1
safest                           1
sahib                            7
sahib-mary                       1
said                             829
said-mrs                         1
saidie                           1
sail                             1
sailor                           1
sake                             1
salaam                           2
salaamed                         1
salaams                          2
sale                             1
sallow                           3
salt                             3
salute                           1
salver                           1
same                             49
sand                             1
sang                             12
sarah                            1
sarcastic                        1
sat                              71
satans                           1
satin                            4
satiny                           1
satisfaction                     2
satisfied                        1
satisfy                          1
satisfying                       2
saturday                         1
sauce                            1
saucers                          1
savage                           3
save                             4
saved                            1
saves                            1
savin                            2
saving                           1
saw                              81
say                              71
sayin                            6
saying                           22
says                             72
scales                           1
scampered                        1
scamperin                        1
scarce                           5
scarcely                         25
scared                           2
scarlet                          7
scarlet-waistcoated              1
scattered                        1
scene                            2
scenery                          1
scenes                           2
scent                            9
scented                          2
scents                           5
school                           3
scientific                       15
scold                            1
scolds                           1
score                            1
scores                           1
scorn                            1
scotland                         1
scowl                            1
scowled                          1
scramble                         3
scrambled                        3
scrap                            2
scraped                          1
scraps                           1
scratch                          1
scratched                        2
scratchin                        1
scrawny                          2
scream                           13
screamed                         2
screamin                         1
screaming                        4
screams                          2
scuffle                          1
scuffling                        1
scullery-maid                    2
scullerymaid                     1
sea                              5
search                           2
searched                         1
searchin                         1
seaside                          2
season                           3
seat                             5
seated                           1
seating                          1
seats                            3
second                           17
seconds                          1
secrecy                          1
secret                           74
secrete                          1
secretly                         6
secrets                          5
section                          7
sections                         1
secure                           1
see                              206
see-if                           1
see-you                          1
seed                             8
seeds                            20
seein                            2
seeing                           7
seem                             27
seemed                           138
seemin                           1
seeming                          3
seems                            13
seen                             67
sees                             7
seldom                           2
self                             2
self-absorbed                    1
self-indulgence                  1
self-sacrificing                 1
selfish                          9
sell                             1
send                             19
sendin                           1
sending                          4
sense                            9
senses                           2
sensible                         4
sensiblest                       1
sensitive                        1
sent                             24
sentence                         5
sentiment                        1
separate                         1
